SPOT :timeStamp:,SPOT :volume:,SPOT :close:,SPOT :high:,SPOT :low:,SPOT :open:,SPOT :close:,SPOT :oi:,CURRENT :timeStamp:,CURRENT :volume:,CURRENT :close:,CURRENT :high:,CURRENT :low:,CURRENT :open:,CURRENT :close:,CURRENT :oi:,NEXT :timeStamp:,NEXT :volume:,NEXT :close:,NEXT :high:,NEXT :low:,NEXT :open:,NEXT :close:,NEXT :oi:
2021-04-08T09:15:00+0530,219972,214.45,215.0,214.15,214.85,214.45,0,2021-04-08T09:15:00+0530,176000,215.65,215.85,215.3,215.3,215.65,108076800,2021-04-08T09:15:00+0530,3200,215.3,215.65,215.3,215.65,215.3,7507200
2021-04-08T09:16:00+0530,129329,214.5,214.6,214.3,214.4,214.5,0,2021-04-08T09:16:00+0530,163200,215.9,215.9,215.6,215.75,215.9,108076800,2021-04-08T09:16:00+0530,9600,215.25,215.25,215.25,215.25,215.25,7507200
2021-04-08T09:17:00+0530,190107,214.4,214.85,214.4,214.5,214.4,0,2021-04-08T09:17:00+0530,220800,215.7,216.15,215.65,215.9,215.7,108128000,2021-04-08T09:17:00+0530,6400,215.5,215.55,215.5,215.55,215.5,7510400
2021-04-08T09:18:00+0530,65370,214.6,214.65,214.5,214.55,214.6,0,2021-04-08T09:18:00+0530,44800,215.75,215.85,215.7,215.75,215.75,108128000,2021-04-08T09:18:00+0530,3200,215.35,215.5,215.35,215.35,215.35,7510400
2021-04-08T09:19:00+0530,68858,214.75,214.85,214.55,214.6,214.75,0,2021-04-08T09:19:00+0530,70400,216.0,216.05,215.85,215.85,216.0,108128000,2021-04-08T09:19:00+0530,6400,215.5,215.5,215.35,215.35,215.5,7510400
2021-04-08T09:20:00+0530,136580,215.1,215.2,214.75,214.75,215.1,0,2021-04-08T09:20:00+0530,147200,216.15,216.35,215.95,215.95,216.15,108169600,2021-04-08T09:20:00+0530,12800,215.75,215.75,215.5,215.5,215.75,7510400
2021-04-08T09:21:00+0530,120745,214.65,215.05,214.65,215.05,214.65,0,2021-04-08T09:21:00+0530,99200,215.95,216.3,215.9,216.15,215.95,108169600,2021-04-08T09:21:00+0530,28800,215.5,215.8,215.5,215.75,215.5,7510400
2021-04-08T09:22:00+0530,101568,214.5,214.9,214.5,214.65,214.5,0,2021-04-08T09:22:00+0530,86400,215.7,216.1,215.7,215.95,215.7,108169600,2021-04-08T09:22:00+0530,3200,215.4,215.5,215.4,215.5,215.4,7510400
2021-04-08T09:23:00+0530,79044,214.65,214.7,214.5,214.65,214.65,0,2021-04-08T09:23:00+0530,115200,215.85,215.9,215.75,215.75,215.85,108252800,2021-04-08T09:23:00+0530,3200,215.4,215.4,215.4,215.4,215.4,7510400
2021-04-08T09:24:00+0530,39369,214.55,214.7,214.5,214.65,214.55,0,2021-04-08T09:24:00+0530,19200,215.9,215.9,215.75,215.75,215.9,108252800,2021-04-08T09:24:00+0530,0,215.4,215.4,215.4,215.4,215.4,7510400
2021-04-08T09:25:00+0530,24799,214.75,214.8,214.55,214.65,214.75,0,2021-04-08T09:25:00+0530,16000,215.85,215.9,215.75,215.9,215.85,108252800,2021-04-08T09:25:00+0530,0,215.4,215.4,215.4,215.4,215.4,7510400
2021-04-08T09:26:00+0530,101785,214.9,215.0,214.5,214.7,214.9,0,2021-04-08T09:26:00+0530,160000,216.05,216.15,215.8,215.8,216.05,108240000,2021-04-08T09:26:00+0530,0,215.4,215.4,215.4,215.4,215.4,7510400
2021-04-08T09:27:00+0530,140966,215.05,215.2,214.85,214.9,215.05,0,2021-04-08T09:27:00+0530,153600,216.15,216.35,216.05,216.05,216.15,108240000,2021-04-08T09:27:00+0530,3200,215.75,215.75,215.4,215.4,215.75,7507200
2021-04-08T09:28:00+0530,71898,215.1,215.15,215.0,215.05,215.1,0,2021-04-08T09:28:00+0530,156800,216.25,216.45,216.15,216.15,216.25,108240000,2021-04-08T09:28:00+0530,0,215.75,215.75,215.75,215.75,215.75,7507200
2021-04-08T09:29:00+0530,102066,215.15,215.2,215.0,215.1,215.15,0,2021-04-08T09:29:00+0530,48000,216.35,216.4,216.25,216.25,216.35,108374400,2021-04-08T09:29:00+0530,0,215.75,215.75,215.75,215.75,215.75,7507200
2021-04-08T09:30:00+0530,173173,215.45,215.6,215.05,215.2,215.45,0,2021-04-08T09:30:00+0530,288000,216.7,216.7,216.35,216.35,216.7,108374400,2021-04-08T09:30:00+0530,9600,216.3,216.3,215.75,215.75,216.3,7504000
2021-04-08T09:31:00+0530,172203,215.45,215.75,215.35,215.6,215.45,0,2021-04-08T09:31:00+0530,227200,216.55,216.8,216.55,216.7,216.55,108374400,2021-04-08T09:31:00+0530,9600,216.25,216.4,216.25,216.3,216.25,7504000
2021-04-08T09:32:00+0530,72012,215.4,215.55,215.35,215.4,215.4,0,2021-04-08T09:32:00+0530,28800,216.35,216.6,216.35,216.55,216.35,108460800,2021-04-08T09:32:00+0530,3200,216.25,216.25,216.25,216.25,216.25,7504000
2021-04-08T09:33:00+0530,44294,215.55,215.6,215.4,215.4,215.55,0,2021-04-08T09:33:00+0530,172800,216.65,216.7,216.4,216.5,216.65,108460800,2021-04-08T09:33:00+0530,0,216.25,216.25,216.25,216.25,216.25,7504000
2021-04-08T09:34:00+0530,75287,215.55,215.65,215.4,215.55,215.55,0,2021-04-08T09:34:00+0530,336000,216.7,216.8,216.5,216.65,216.7,108460800,2021-04-08T09:34:00+0530,6400,216.1,216.25,216.1,216.25,216.1,7504000
2021-04-08T09:35:00+0530,58452,215.5,215.55,215.4,215.5,215.5,0,2021-04-08T09:35:00+0530,38400,216.55,216.7,216.55,216.7,216.55,108534400,2021-04-08T09:35:00+0530,6400,216.35,216.35,216.1,216.1,216.35,7504000
2021-04-08T09:36:00+0530,38668,215.6,215.6,215.45,215.55,215.6,0,2021-04-08T09:36:00+0530,38400,216.7,216.7,216.5,216.55,216.7,108534400,2021-04-08T09:36:00+0530,3200,216.2,216.35,216.2,216.35,216.2,7504000
2021-04-08T09:37:00+0530,25597,215.5,215.6,215.5,215.6,215.5,0,2021-04-08T09:37:00+0530,32000,216.65,216.7,216.55,216.7,216.65,108534400,2021-04-08T09:37:00+0530,0,216.2,216.2,216.2,216.2,216.2,7504000
2021-04-08T09:38:00+0530,25436,215.6,215.6,215.5,215.6,215.6,0,2021-04-08T09:38:00+0530,19200,216.6,216.7,216.5,216.6,216.6,108547200,2021-04-08T09:38:00+0530,3200,216.2,216.2,216.2,216.2,216.2,7504000
2021-04-08T09:39:00+0530,115665,215.35,215.6,215.3,215.6,215.35,0,2021-04-08T09:39:00+0530,54400,216.5,216.65,216.4,216.6,216.5,108547200,2021-04-08T09:39:00+0530,9600,216.05,216.2,216.05,216.2,216.05,7507200
2021-04-08T09:40:00+0530,283667,215.5,216.1,215.3,215.45,215.5,0,2021-04-08T09:40:00+0530,313600,216.55,217.0,216.5,216.5,216.55,108547200,2021-04-08T09:40:00+0530,9600,216.5,216.5,216.05,216.35,216.5,7507200
2021-04-08T09:41:00+0530,69532,215.5,215.75,215.4,215.7,215.5,0,2021-04-08T09:41:00+0530,48000,216.4,216.6,216.4,216.55,216.4,108512000,2021-04-08T09:41:00+0530,6400,216.0,216.3,216.0,216.3,216.0,7510400
2021-04-08T09:42:00+0530,41535,215.45,215.55,215.4,215.45,215.45,0,2021-04-08T09:42:00+0530,25600,216.45,216.45,216.4,216.4,216.45,108512000,2021-04-08T09:42:00+0530,6400,216.0,216.0,216.0,216.0,216.0,7510400
2021-04-08T09:43:00+0530,36402,215.4,215.55,215.4,215.5,215.4,0,2021-04-08T09:43:00+0530,54400,216.45,216.6,216.45,216.45,216.45,108512000,2021-04-08T09:43:00+0530,6400,216.2,216.2,216.0,216.0,216.2,7510400
2021-04-08T09:44:00+0530,79384,215.0,215.5,215.0,215.4,215.0,0,2021-04-08T09:44:00+0530,96000,216.1,216.45,216.1,216.45,216.1,108508800,2021-04-08T09:44:00+0530,3200,216.0,216.2,216.0,216.2,216.0,7510400
2021-04-08T09:45:00+0530,109581,215.1,215.25,214.85,215.05,215.1,0,2021-04-08T09:45:00+0530,160000,216.2,216.2,216.0,216.1,216.2,108508800,2021-04-08T09:45:00+0530,6400,215.65,215.8,215.65,215.8,215.65,7516800
2021-04-08T09:46:00+0530,28257,215.15,215.2,215.1,215.2,215.15,0,2021-04-08T09:46:00+0530,9600,216.3,216.3,216.2,216.2,216.3,108508800,2021-04-08T09:46:00+0530,0,215.65,215.65,215.65,215.65,215.65,7516800
2021-04-08T09:47:00+0530,30056,215.2,215.3,215.15,215.15,215.2,0,2021-04-08T09:47:00+0530,6400,216.25,216.3,216.25,216.3,216.25,108451200,2021-04-08T09:47:00+0530,0,215.65,215.65,215.65,215.65,215.65,7516800
2021-04-08T09:48:00+0530,122727,214.8,215.3,214.8,215.2,214.8,0,2021-04-08T09:48:00+0530,89600,216.0,216.3,216.0,216.25,216.0,108451200,2021-04-08T09:48:00+0530,0,215.65,215.65,215.65,215.65,215.65,7513600
2021-04-08T09:49:00+0530,100609,214.8,215.0,214.65,214.8,214.8,0,2021-04-08T09:49:00+0530,176000,215.9,216.0,215.75,216.0,215.9,108451200,2021-04-08T09:49:00+0530,6400,215.65,215.65,215.65,215.65,215.65,7513600
2021-04-08T09:50:00+0530,29838,214.75,214.9,214.75,214.9,214.75,0,2021-04-08T09:50:00+0530,38400,215.9,216.0,215.85,215.9,215.9,108534400,2021-04-08T09:50:00+0530,0,215.65,215.65,215.65,215.65,215.65,7513600
2021-04-08T09:51:00+0530,38295,214.75,214.85,214.7,214.8,214.75,0,2021-04-08T09:51:00+0530,32000,215.9,215.95,215.9,215.9,215.9,108534400,2021-04-08T09:51:00+0530,0,215.65,215.65,215.65,215.65,215.65,7513600
2021-04-08T09:52:00+0530,46150,214.85,214.9,214.7,214.75,214.85,0,2021-04-08T09:52:00+0530,32000,216.0,216.0,215.85,215.9,216.0,108534400,2021-04-08T09:52:00+0530,12800,215.75,215.75,215.45,215.65,215.75,7516800
